curve_id,curve_name,point_index,phi,moment,phi_abs,moment_abs
positive_bending,V2 (C-B)L,0,0.0,0.0,0.0,0.0
positive_bending,V2 (C-B)L,1,6.7e-05,10.74,6.7e-05,10.74
positive_bending,V2 (C-B)L,2,0.000147,23.628,0.000147,23.628
positive_bending,V2 (C-B)L,3,0.000211,33.938,0.000211,33.938
positive_bending,V2 (C-B)L,4,0.000262,42.186,0.000262,42.186
positive_bending,V2 (C-B)L,5,0.000303,48.784,0.000303,48.784
positive_bending,V2 (C-B)L,6,0.00033600000000000004,54.063,0.00033600000000000004,54.063
positive_bending,V2 (C-B)L,7,0.00034100000000000005,54.908,0.00034100000000000005,54.908
positive_bending,V2 (C-B)L,8,0.000345,55.584,0.000345,55.584
positive_bending,V2 (C-B)L,9,0.000348,56.124,0.000348,56.124
positive_bending,V2 (C-B)L,10,0.00035099999999999997,56.556,0.00035099999999999997,56.556
positive_bending,V2 (C-B)L,11,0.00035299999999999996,56.903,0.00035299999999999996,56.903
positive_bending,V2 (C-B)L,12,0.00035499999999999996,57.179,0.00035499999999999996,57.179
positive_bending,V2 (C-B)L,13,0.00036199999999999996,57.638,0.00036199999999999996,57.638
positive_bending,V2 (C-B)L,14,0.000467,61.359,0.000467,61.359
positive_bending,V2 (C-B)L,15,0.000867,85.648,0.000867,85.648
positive_bending,V2 (C-B)L,16,0.001267,107.356,0.001267,107.356
positive_bending,V2 (C-B)L,17,0.001667,128.791,0.001667,128.791
positive_bending,V2 (C-B)L,18,0.0020670000000000003,150.257,0.0020670000000000003,150.257
positive_bending,V2 (C-B)L,19,0.002467,171.814,0.002467,171.814
positive_bending,V2 (C-B)L,20,0.002867,193.461,0.002867,193.461
positive_bending,V2 (C-B)L,21,0.003267,215.169,0.003267,215.169
positive_bending,V2 (C-B)L,22,0.0036669999999999997,236.945,0.0036669999999999997,236.945
positive_bending,V2 (C-B)L,23,0.004067,258.77,0.004067,258.77
positive_bending,V2 (C-B)L,24,0.0044729999999999995,281.001,0.0044729999999999995,281.001
positive_bending,V2 (C-B)L,25,0.004921,305.493,0.004921,305.493
positive_bending,V2 (C-B)L,26,0.005413,332.464,0.005413,332.464
positive_bending,V2 (C-B)L,27,0.005954,362.158,0.005954,362.158
positive_bending,V2 (C-B)L,28,0.006549,394.834,0.006549,394.834
positive_bending,V2 (C-B)L,29,0.0072039999999999995,421.045,0.0072039999999999995,421.045
positive_bending,V2 (C-B)L,30,0.007925,422.451,0.007925,422.451
positive_bending,V2 (C-B)L,31,0.008717,424.95,0.008717,424.95
positive_bending,V2 (C-B)L,32,0.009589,427.79,0.009589,427.79
positive_bending,V2 (C-B)L,33,0.010548,430.893,0.010548,430.893
positive_bending,V2 (C-B)L,34,0.011603,434.108,0.011603,434.108
positive_bending,V2 (C-B)L,35,0.012763,437.64,0.012763,437.64
positive_bending,V2 (C-B)L,36,0.014039,441.793,0.014039,441.793
positive_bending,V2 (C-B)L,37,0.015443,446.538,0.015443,446.538
positive_bending,V2 (C-B)L,38,0.016987,451.681,0.016987,451.681
positive_bending,V2 (C-B)L,39,0.018686,457.119,0.018686,457.119
positive_bending,V2 (C-B)L,40,0.020555,462.336,0.020555,462.336
positive_bending,V2 (C-B)L,41,0.022609999999999998,465.518,0.022609999999999998,465.518
positive_bending,V2 (C-B)L,42,0.024870999999999997,466.935,0.024870999999999997,466.935
positive_bending,V2 (C-B)L,43,0.027358,468.265,0.027358,468.265
positive_bending,V2 (C-B)L,44,0.030094000000000003,469.53,0.030094000000000003,469.53
positive_bending,V2 (C-B)L,45,0.030696,469.783,0.030696,469.783
positive_bending,V2 (C-B)L,46,0.030793,469.82,0.030793,469.82
positive_bending,V2 (C-B)L,47,0.03087,469.848,0.03087,469.848
positive_bending,V2 (C-B)L,48,0.030931,469.877,0.030931,469.877
positive_bending,V2 (C-B)L,49,0.030981,469.899,0.030981,469.899
positive_bending,V2 (C-B)L,50,0.03102,469.917,0.03102,469.917
positive_bending,V2 (C-B)L,51,0.031052,469.923,0.031052,469.923
positive_bending,V2 (C-B)L,52,0.031178,469.973,0.031178,469.973
positive_bending,V2 (C-B)L,53,0.033104,470.696,0.033104,470.696
positive_bending,V2 (C-B)L,54,0.036414,471.996,0.036414,471.996
positive_bending,V2 (C-B)L,55,0.040055999999999994,475.655,0.040055999999999994,475.655
positive_bending,V2 (C-B)L,56,0.044061,480.542,0.044061,480.542
positive_bending,V2 (C-B)L,57,0.048466999999999996,484.776,0.048466999999999996,484.776
positive_bending,V2 (C-B)L,58,0.053314,487.976,0.053314,487.976
positive_bending,V2 (C-B)L,59,0.058645,490.323,0.058645,490.323
positive_bending,V2 (C-B)L,60,0.06451000000000001,492.241,0.06451000000000001,492.241
positive_bending,V2 (C-B)L,61,0.070961,494.153,0.070961,494.153
positive_bending,V2 (C-B)L,62,0.078057,496.91,0.078057,496.91
positive_bending,V2 (C-B)L,63,0.085863,501.122,0.085863,501.122
positive_bending,V2 (C-B)L,64,0.09444899999999999,503.435,0.09444899999999999,503.435
positive_bending,V2 (C-B)L,65,0.103894,503.671,0.103894,503.671
negative_bending,V2 (C-B)L-INV,0,-0.0,-0.0,0.0,0.0
negative_bending,V2 (C-B)L-INV,1,-6.7e-05,-10.737,6.7e-05,10.737
negative_bending,V2 (C-B)L-INV,2,-0.000147,-23.622,0.000147,23.622
negative_bending,V2 (C-B)L-INV,3,-0.000211,-33.929,0.000211,33.929
negative_bending,V2 (C-B)L-INV,4,-0.000262,-42.175,0.000262,42.175
negative_bending,V2 (C-B)L-INV,5,-0.000303,-48.772,0.000303,48.772
negative_bending,V2 (C-B)L-INV,6,-0.00033600000000000004,-54.05,0.00033600000000000004,54.05
negative_bending,V2 (C-B)L-INV,7,-0.00036199999999999996,-58.271,0.00036199999999999996,58.271
negative_bending,V2 (C-B)L-INV,8,-0.000383,-61.649,0.000383,61.649
negative_bending,V2 (C-B)L-INV,9,-0.0004,-64.351,0.0004,64.351
negative_bending,V2 (C-B)L-INV,10,-0.00041299999999999996,-66.513,0.00041299999999999996,66.513
negative_bending,V2 (C-B)L-INV,11,-0.000424,-68.242,0.000424,68.242
negative_bending,V2 (C-B)L-INV,12,-0.000432,-69.625,0.000432,69.625
negative_bending,V2 (C-B)L-INV,13,-0.000439,-70.732,0.000439,70.732
negative_bending,V2 (C-B)L-INV,14,-0.00044500000000000003,-71.617,0.00044500000000000003,71.617
negative_bending,V2 (C-B)L-INV,15,-0.000449,-72.326,0.000449,72.326
negative_bending,V2 (C-B)L-INV,16,-0.000453,-72.892,0.000453,72.892
negative_bending,V2 (C-B)L-INV,17,-0.000455,-73.346,0.000455,73.346
negative_bending,V2 (C-B)L-INV,18,-0.000458,-73.708,0.000458,73.708
negative_bending,V2 (C-B)L-INV,19,-0.000467,-69.586,0.000467,69.586
negative_bending,V2 (C-B)L-INV,20,-0.000867,-91.153,0.000867,91.153
negative_bending,V2 (C-B)L-INV,21,-0.001267,-112.157,0.001267,112.157
negative_bending,V2 (C-B)L-INV,22,-0.001667,-132.594,0.001667,132.594
negative_bending,V2 (C-B)L-INV,23,-0.0020670000000000003,-152.969,0.0020670000000000003,152.969
negative_bending,V2 (C-B)L-INV,24,-0.002467,-173.371,0.002467,173.371
negative_bending,V2 (C-B)L-INV,25,-0.002867,-193.844,0.002867,193.844
negative_bending,V2 (C-B)L-INV,26,-0.003267,-214.385,0.003267,214.385
negative_bending,V2 (C-B)L-INV,27,-0.0036669999999999997,-234.978,0.0036669999999999997,234.978
negative_bending,V2 (C-B)L-INV,28,-0.004067,-255.614,0.004067,255.614
negative_bending,V2 (C-B)L-INV,29,-0.0044729999999999995,-276.623,0.0044729999999999995,276.623
negative_bending,V2 (C-B)L-INV,30,-0.004921,-299.756,0.004921,299.756
negative_bending,V2 (C-B)L-INV,31,-0.005413,-325.209,0.005413,325.209
negative_bending,V2 (C-B)L-INV,32,-0.005954,-353.192,0.005954,353.192
negative_bending,V2 (C-B)L-INV,33,-0.006549,-383.923,0.006549,383.923
negative_bending,V2 (C-B)L-INV,34,-0.0072039999999999995,-417.626,0.0072039999999999995,417.626
negative_bending,V2 (C-B)L-INV,35,-0.007925,-443.662,0.007925,443.662
negative_bending,V2 (C-B)L-INV,36,-0.008717,-445.547,0.008717,445.547
negative_bending,V2 (C-B)L-INV,37,-0.009589,-448.513,0.009589,448.513
negative_bending,V2 (C-B)L-INV,38,-0.010548,-451.791,0.010548,451.791
negative_bending,V2 (C-B)L-INV,39,-0.011603,-455.102,0.011603,455.102
negative_bending,V2 (C-B)L-INV,40,-0.012763,-458.495,0.012763,458.495
negative_bending,V2 (C-B)L-INV,41,-0.014039,-461.97,0.014039,461.97
negative_bending,V2 (C-B)L-INV,42,-0.015443,-465.547,0.015443,465.547
negative_bending,V2 (C-B)L-INV,43,-0.016987,-469.212,0.016987,469.212
negative_bending,V2 (C-B)L-INV,44,-0.018686,-472.941,0.018686,472.941
negative_bending,V2 (C-B)L-INV,45,-0.020555,-476.853,0.020555,476.853
