curve_id,curve_name,point_index,phi,moment,phi_abs,moment_abs
positive_bending,V2 (C-B)T,0,0.0,0.0,0.0,0.0
positive_bending,V2 (C-B)T,1,6.7e-05,12.064,6.7e-05,12.064
positive_bending,V2 (C-B)T,2,0.000147,26.541,0.000147,26.541
positive_bending,V2 (C-B)T,3,0.000211,38.123,0.000211,38.123
positive_bending,V2 (C-B)T,4,0.000262,47.388,0.000262,47.388
positive_bending,V2 (C-B)T,5,0.000303,54.8,0.000303,54.8
positive_bending,V2 (C-B)T,6,0.00033600000000000004,60.73,0.00033600000000000004,60.73
positive_bending,V2 (C-B)T,7,0.00034100000000000005,60.232,0.00034100000000000005,60.232
positive_bending,V2 (C-B)T,8,0.00036199999999999996,58.488,0.00036199999999999996,58.488
positive_bending,V2 (C-B)T,9,0.000467,66.293,0.000467,66.293
positive_bending,V2 (C-B)T,10,0.000867,91.18,0.000867,91.18
positive_bending,V2 (C-B)T,11,0.001267,113.87,0.001267,113.87
positive_bending,V2 (C-B)T,12,0.001667,136.409,0.001667,136.409
positive_bending,V2 (C-B)T,13,0.0020670000000000003,158.997,0.0020670000000000003,158.997
positive_bending,V2 (C-B)T,14,0.002467,181.677,0.002467,181.677
positive_bending,V2 (C-B)T,15,0.002867,204.479,0.002867,204.479
positive_bending,V2 (C-B)T,16,0.003267,227.343,0.003267,227.343
positive_bending,V2 (C-B)T,17,0.0036669999999999997,250.282,0.0036669999999999997,250.282
positive_bending,V2 (C-B)T,18,0.004067,273.277,0.004067,273.277
positive_bending,V2 (C-B)T,19,0.0044729999999999995,296.705,0.0044729999999999995,296.705
positive_bending,V2 (C-B)T,20,0.004921,322.522,0.004921,322.522
positive_bending,V2 (C-B)T,21,0.005413,350.962,0.005413,350.962
positive_bending,V2 (C-B)T,22,0.005954,382.286,0.005954,382.286
positive_bending,V2 (C-B)T,23,0.006549,416.772,0.006549,416.772
positive_bending,V2 (C-B)T,24,0.0072039999999999995,427.309,0.0072039999999999995,427.309
positive_bending,V2 (C-B)T,25,0.007925,429.765,0.007925,429.765
positive_bending,V2 (C-B)T,26,0.008717,432.783,0.008717,432.783
positive_bending,V2 (C-B)T,27,0.009589,436.388,0.009589,436.388
positive_bending,V2 (C-B)T,28,0.010548,440.473,0.010548,440.473
positive_bending,V2 (C-B)T,29,0.011603,445.219,0.011603,445.219
positive_bending,V2 (C-B)T,30,0.012763,450.354,0.012763,450.354
positive_bending,V2 (C-B)T,31,0.014039,455.828,0.014039,455.828
positive_bending,V2 (C-B)T,32,0.015443,461.617,0.015443,461.617
positive_bending,V2 (C-B)T,33,0.016987,466.925,0.016987,466.925
positive_bending,V2 (C-B)T,34,0.018686,470.767,0.018686,470.767
positive_bending,V2 (C-B)T,35,0.020555,473.151,0.020555,473.151
positive_bending,V2 (C-B)T,36,0.022609999999999998,474.89,0.022609999999999998,474.89
positive_bending,V2 (C-B)T,37,0.024870999999999997,476.626,0.024870999999999997,476.626
positive_bending,V2 (C-B)T,38,0.027358,478.355,0.027358,478.355
positive_bending,V2 (C-B)T,39,0.030094000000000003,480.223,0.030094000000000003,480.223
positive_bending,V2 (C-B)T,40,0.033104,481.833,0.033104,481.833
positive_bending,V2 (C-B)T,41,0.036414,484.818,0.036414,484.818
positive_bending,V2 (C-B)T,42,0.03656,485.027,0.03656,485.027
positive_bending,V2 (C-B)T,43,0.036676,485.232,0.036676,485.232
positive_bending,V2 (C-B)T,44,0.036770000000000004,485.35,0.036770000000000004,485.35
positive_bending,V2 (C-B)T,45,0.036844,485.46,0.036844,485.46
positive_bending,V2 (C-B)T,46,0.036904000000000006,485.561,0.036904000000000006,485.561
positive_bending,V2 (C-B)T,47,0.037142,485.906,0.037142,485.906
positive_bending,V2 (C-B)T,48,0.040055999999999994,490.375,0.040055999999999994,490.375
positive_bending,V2 (C-B)T,49,0.044061,497.313,0.044061,497.313
positive_bending,V2 (C-B)T,50,0.048466999999999996,503.856,0.048466999999999996,503.856
positive_bending,V2 (C-B)T,51,0.053314,509.606,0.053314,509.606
positive_bending,V2 (C-B)T,52,0.058645,513.925,0.058645,513.925
positive_bending,V2 (C-B)T,53,0.06451000000000001,516.546,0.06451000000000001,516.546
positive_bending,V2 (C-B)T,54,0.070961,517.839,0.070961,517.839
positive_bending,V2 (C-B)T,55,0.078057,518.571,0.078057,518.571
positive_bending,V2 (C-B)T,56,0.085863,519.438,0.085863,519.438
positive_bending,V2 (C-B)T,57,0.09444899999999999,521.722,0.09444899999999999,521.722
positive_bending,V2 (C-B)T,58,0.103894,526.007,0.103894,526.007
positive_bending,V2 (C-B)T,59,0.114283,525.358,0.114283,525.358
negative_bending,V2 (C-B)T-INV,0,-0.0,-0.0,0.0,0.0
negative_bending,V2 (C-B)T-INV,1,-6.7e-05,-12.077,6.7e-05,12.077
negative_bending,V2 (C-B)T-INV,2,-0.000467,-84.54,0.000467,84.54
negative_bending,V2 (C-B)T-INV,3,-0.000483,-87.438,0.000483,87.438
negative_bending,V2 (C-B)T-INV,4,-0.000495,-89.757,0.000495,89.757
negative_bending,V2 (C-B)T-INV,5,-0.000498,-90.128,0.000498,90.128
negative_bending,V2 (C-B)T-INV,6,-0.000506,-82.048,0.000506,82.048
negative_bending,V2 (C-B)T-INV,7,-0.0005470000000000001,-82.684,0.0005470000000000001,82.684
negative_bending,V2 (C-B)T-INV,8,-0.000867,-102.792,0.000867,102.792
negative_bending,V2 (C-B)T-INV,9,-0.001267,-124.222,0.001267,124.222
negative_bending,V2 (C-B)T-INV,10,-0.001667,-144.857,0.001667,144.857
negative_bending,V2 (C-B)T-INV,11,-0.0020670000000000003,-165.409,0.0020670000000000003,165.409
negative_bending,V2 (C-B)T-INV,12,-0.002467,-186.001,0.002467,186.001
negative_bending,V2 (C-B)T-INV,13,-0.002867,-206.683,0.002867,206.683
negative_bending,V2 (C-B)T-INV,14,-0.003267,-227.452,0.003267,227.452
negative_bending,V2 (C-B)T-INV,15,-0.0036669999999999997,-248.291,0.0036669999999999997,248.291
negative_bending,V2 (C-B)T-INV,16,-0.004067,-269.183,0.004067,269.183
negative_bending,V2 (C-B)T-INV,17,-0.0044729999999999995,-290.47,0.0044729999999999995,290.47
negative_bending,V2 (C-B)T-INV,18,-0.004921,-313.916,0.004921,313.916
negative_bending,V2 (C-B)T-INV,19,-0.005413,-339.726,0.005413,339.726
negative_bending,V2 (C-B)T-INV,20,-0.005954,-368.105,0.005954,368.105
negative_bending,V2 (C-B)T-INV,21,-0.006549,-399.295,0.006549,399.295
negative_bending,V2 (C-B)T-INV,22,-0.0072039999999999995,-433.495,0.0072039999999999995,433.495
negative_bending,V2 (C-B)T-INV,23,-0.007925,-454.594,0.007925,454.594
negative_bending,V2 (C-B)T-INV,24,-0.008717,-456.874,0.008717,456.874
negative_bending,V2 (C-B)T-INV,25,-0.009589,-460.084,0.009589,460.084
negative_bending,V2 (C-B)T-INV,26,-0.010548,-463.441,0.010548,463.441
negative_bending,V2 (C-B)T-INV,27,-0.011603,-466.879,0.011603,466.879
negative_bending,V2 (C-B)T-INV,28,-0.012763,-470.379,0.012763,470.379
negative_bending,V2 (C-B)T-INV,29,-0.014039,-473.969,0.014039,473.969
negative_bending,V2 (C-B)T-INV,30,-0.015443,-477.645,0.015443,477.645
negative_bending,V2 (C-B)T-INV,31,-0.016987,-481.411,0.016987,481.411
negative_bending,V2 (C-B)T-INV,32,-0.018686,-485.208,0.018686,485.208
negative_bending,V2 (C-B)T-INV,33,-0.019059999999999997,-486.123,0.019059999999999997,486.123
negative_bending,V2 (C-B)T-INV,34,-0.019359,-486.735,0.019359,486.735
negative_bending,V2 (C-B)T-INV,35,-0.019597999999999997,-487.269,0.019597999999999997,487.269
negative_bending,V2 (C-B)T-INV,36,-0.019789,-487.652,0.019789,487.652
negative_bending,V2 (C-B)T-INV,37,-0.019943000000000002,-487.937,0.019943000000000002,487.937
negative_bending,V2 (C-B)T-INV,38,-0.020065000000000003,-488.211,0.020065000000000003,488.211
negative_bending,V2 (C-B)T-INV,39,-0.020163,-488.424,0.020163,488.424
negative_bending,V2 (C-B)T-INV,40,-0.020241,-488.598,0.020241,488.598
negative_bending,V2 (C-B)T-INV,41,-0.020304,-488.734,0.020304,488.734
negative_bending,V2 (C-B)T-INV,42,-0.020354,-488.848,0.020354,488.848
negative_bending,V2 (C-B)T-INV,43,-0.020394,-488.938,0.020394,488.938
negative_bending,V2 (C-B)T-INV,44,-0.020555,-489.25,0.020555,489.25
negative_bending,V2 (C-B)T-INV,45,-0.022609999999999998,-493.267,0.022609999999999998,493.267
negative_bending,V2 (C-B)T-INV,46,-0.024870999999999997,-497.161,0.024870999999999997,497.161
negative_bending,V2 (C-B)T-INV,47,-0.027358,-500.853,0.027358,500.853
negative_bending,V2 (C-B)T-INV,48,-0.030094000000000003,-504.104,0.030094000000000003,504.104
negative_bending,V2 (C-B)T-INV,49,-0.033104,-506.186,0.033104,506.186
negative_bending,V2 (C-B)T-INV,50,-0.036414,-504.726,0.036414,504.726
negative_bending,V2 (C-B)T-INV,51,-0.040055999999999994,-503.452,0.040055999999999994,503.452
negative_bending,V2 (C-B)T-INV,52,-0.044061,-504.247,0.044061,504.247
negative_bending,V2 (C-B)T-INV,53,-0.048466999999999996,-506.861,0.048466999999999996,506.861
negative_bending,V2 (C-B)T-INV,54,-0.053314,-510.327,0.053314,510.327
negative_bending,V2 (C-B)T-INV,55,-0.058645,-510.959,0.058645,510.959
negative_bending,V2 (C-B)T-INV,56,-0.06451000000000001,-510.152,0.06451000000000001,510.152
negative_bending,V2 (C-B)T-INV,57,-0.070961,-510.39,0.070961,510.39
negative_bending,V2 (C-B)T-INV,58,-0.078057,-511.812,0.078057,511.812
