curve_id,curve_name,point_index,phi,moment,phi_abs,moment_abs
positive_bending,V2(0-1 Y 4-5)35X50,0,0.0,0.0,0.0,0.0
positive_bending,V2(0-1 Y 4-5)35X50,1,6.7e-05,8.647,6.7e-05,8.647
positive_bending,V2(0-1 Y 4-5)35X50,2,0.000147,19.024,0.000147,19.024
positive_bending,V2(0-1 Y 4-5)35X50,3,0.000211,27.325,0.000211,27.325
positive_bending,V2(0-1 Y 4-5)35X50,4,0.000262,33.966,0.000262,33.966
positive_bending,V2(0-1 Y 4-5)35X50,5,0.000303,39.279,0.000303,39.279
positive_bending,V2(0-1 Y 4-5)35X50,6,0.00033600000000000004,43.529,0.00033600000000000004,43.529
positive_bending,V2(0-1 Y 4-5)35X50,7,0.00036199999999999996,46.929,0.00036199999999999996,46.929
positive_bending,V2(0-1 Y 4-5)35X50,8,0.000383,49.649,0.000383,49.649
positive_bending,V2(0-1 Y 4-5)35X50,9,0.0004,51.826,0.0004,51.826
positive_bending,V2(0-1 Y 4-5)35X50,10,0.000402,52.174,0.000402,52.174
positive_bending,V2(0-1 Y 4-5)35X50,11,0.000404,52.176,0.000404,52.176
positive_bending,V2(0-1 Y 4-5)35X50,12,0.00041299999999999996,51.128,0.00041299999999999996,51.128
positive_bending,V2(0-1 Y 4-5)35X50,13,0.000467,52.301,0.000467,52.301
positive_bending,V2(0-1 Y 4-5)35X50,14,0.000867,74.924,0.000867,74.924
positive_bending,V2(0-1 Y 4-5)35X50,15,0.001267,94.627,0.001267,94.627
positive_bending,V2(0-1 Y 4-5)35X50,16,0.001667,113.92,0.001667,113.92
positive_bending,V2(0-1 Y 4-5)35X50,17,0.0020670000000000003,133.165,0.0020670000000000003,133.165
positive_bending,V2(0-1 Y 4-5)35X50,18,0.002467,152.436,0.002467,152.436
positive_bending,V2(0-1 Y 4-5)35X50,19,0.002867,171.763,0.002867,171.763
positive_bending,V2(0-1 Y 4-5)35X50,20,0.003267,191.14,0.003267,191.14
positive_bending,V2(0-1 Y 4-5)35X50,21,0.0036669999999999997,210.557,0.0036669999999999997,210.557
positive_bending,V2(0-1 Y 4-5)35X50,22,0.004067,230.007,0.004067,230.007
positive_bending,V2(0-1 Y 4-5)35X50,23,0.0044729999999999995,249.805,0.0044729999999999995,249.805
positive_bending,V2(0-1 Y 4-5)35X50,24,0.004921,271.596,0.004921,271.596
positive_bending,V2(0-1 Y 4-5)35X50,25,0.005413,295.571,0.005413,295.571
positive_bending,V2(0-1 Y 4-5)35X50,26,0.005954,321.928,0.005954,321.928
positive_bending,V2(0-1 Y 4-5)35X50,27,0.006549,350.881,0.006549,350.881
positive_bending,V2(0-1 Y 4-5)35X50,28,0.0072039999999999995,382.643,0.0072039999999999995,382.643
positive_bending,V2(0-1 Y 4-5)35X50,29,0.007925,409.901,0.007925,409.901
positive_bending,V2(0-1 Y 4-5)35X50,30,0.008717,411.635,0.008717,411.635
positive_bending,V2(0-1 Y 4-5)35X50,31,0.009589,414.314,0.009589,414.314
positive_bending,V2(0-1 Y 4-5)35X50,32,0.010548,417.351,0.010548,417.351
positive_bending,V2(0-1 Y 4-5)35X50,33,0.011603,420.423,0.011603,420.423
positive_bending,V2(0-1 Y 4-5)35X50,34,0.012763,423.571,0.012763,423.571
positive_bending,V2(0-1 Y 4-5)35X50,35,0.014039,426.817,0.014039,426.817
positive_bending,V2(0-1 Y 4-5)35X50,36,0.015443,430.167,0.015443,430.167
positive_bending,V2(0-1 Y 4-5)35X50,37,0.016987,433.626,0.016987,433.626
positive_bending,V2(0-1 Y 4-5)35X50,38,0.018686,437.191,0.018686,437.191
positive_bending,V2(0-1 Y 4-5)35X50,39,0.020555,440.847,0.020555,440.847
positive_bending,V2(0-1 Y 4-5)35X50,40,0.020966000000000002,441.654,0.020966000000000002,441.654
positive_bending,V2(0-1 Y 4-5)35X50,41,0.021295,442.273,0.021295,442.273
positive_bending,V2(0-1 Y 4-5)35X50,42,0.021558,442.687,0.021558,442.687
positive_bending,V2(0-1 Y 4-5)35X50,43,0.021768,443.123,0.021768,443.123
positive_bending,V2(0-1 Y 4-5)35X50,44,0.021802,443.216,0.021802,443.216
positive_bending,V2(0-1 Y 4-5)35X50,45,0.021829,443.264,0.021829,443.264
positive_bending,V2(0-1 Y 4-5)35X50,46,0.021937,443.457,0.021937,443.457
positive_bending,V2(0-1 Y 4-5)35X50,47,0.022609999999999998,444.576,0.022609999999999998,444.576
positive_bending,V2(0-1 Y 4-5)35X50,48,0.024870999999999997,447.46,0.024870999999999997,447.46
positive_bending,V2(0-1 Y 4-5)35X50,49,0.027358,448.915,0.027358,448.915
positive_bending,V2(0-1 Y 4-5)35X50,50,0.030094000000000003,448.645,0.030094000000000003,448.645
positive_bending,V2(0-1 Y 4-5)35X50,51,0.033104,447.825,0.033104,447.825
positive_bending,V2(0-1 Y 4-5)35X50,52,0.036414,446.504,0.036414,446.504
positive_bending,V2(0-1 Y 4-5)35X50,53,0.040055999999999994,446.455,0.040055999999999994,446.455
positive_bending,V2(0-1 Y 4-5)35X50,54,0.044061,447.782,0.044061,447.782
positive_bending,V2(0-1 Y 4-5)35X50,55,0.048466999999999996,450.397,0.048466999999999996,450.397
positive_bending,V2(0-1 Y 4-5)35X50,56,0.053314,453.388,0.053314,453.388
positive_bending,V2(0-1 Y 4-5)35X50,57,0.058645,457.251,0.058645,457.251
positive_bending,V2(0-1 Y 4-5)35X50,58,0.06451000000000001,460.526,0.06451000000000001,460.526
positive_bending,V2(0-1 Y 4-5)35X50,59,0.070961,460.857,0.070961,460.857
positive_bending,V2(0-1 Y 4-5)35X50,60,0.078057,461.895,0.078057,461.895
positive_bending,V2(0-1 Y 4-5)35X50,61,0.085863,463.964,0.085863,463.964
negative_bending,V2(0-1 Y 4-5)35X50-INV,0,-0.0,-0.0,0.0,0.0
negative_bending,V2(0-1 Y 4-5)35X50-INV,1,-6.7e-05,-8.647,6.7e-05,8.647
negative_bending,V2(0-1 Y 4-5)35X50-INV,2,-0.000147,-19.024,0.000147,19.024
negative_bending,V2(0-1 Y 4-5)35X50-INV,3,-0.000211,-27.325,0.000211,27.325
negative_bending,V2(0-1 Y 4-5)35X50-INV,4,-0.000262,-33.966,0.000262,33.966
negative_bending,V2(0-1 Y 4-5)35X50-INV,5,-0.000303,-39.279,0.000303,39.279
negative_bending,V2(0-1 Y 4-5)35X50-INV,6,-0.00033600000000000004,-43.529,0.00033600000000000004,43.529
negative_bending,V2(0-1 Y 4-5)35X50-INV,7,-0.00036199999999999996,-46.929,0.00036199999999999996,46.929
negative_bending,V2(0-1 Y 4-5)35X50-INV,8,-0.000383,-49.649,0.000383,49.649
negative_bending,V2(0-1 Y 4-5)35X50-INV,9,-0.0004,-51.826,0.0004,51.826
negative_bending,V2(0-1 Y 4-5)35X50-INV,10,-0.000402,-52.174,0.000402,52.174
negative_bending,V2(0-1 Y 4-5)35X50-INV,11,-0.000404,-52.176,0.000404,52.176
negative_bending,V2(0-1 Y 4-5)35X50-INV,12,-0.00041299999999999996,-51.128,0.00041299999999999996,51.128
negative_bending,V2(0-1 Y 4-5)35X50-INV,13,-0.000467,-52.301,0.000467,52.301
negative_bending,V2(0-1 Y 4-5)35X50-INV,14,-0.000867,-74.924,0.000867,74.924
negative_bending,V2(0-1 Y 4-5)35X50-INV,15,-0.001267,-94.627,0.001267,94.627
negative_bending,V2(0-1 Y 4-5)35X50-INV,16,-0.001667,-113.92,0.001667,113.92
negative_bending,V2(0-1 Y 4-5)35X50-INV,17,-0.0020670000000000003,-133.165,0.0020670000000000003,133.165
negative_bending,V2(0-1 Y 4-5)35X50-INV,18,-0.002467,-152.436,0.002467,152.436
negative_bending,V2(0-1 Y 4-5)35X50-INV,19,-0.002867,-171.763,0.002867,171.763
negative_bending,V2(0-1 Y 4-5)35X50-INV,20,-0.003267,-191.14,0.003267,191.14
negative_bending,V2(0-1 Y 4-5)35X50-INV,21,-0.0036669999999999997,-210.557,0.0036669999999999997,210.557
negative_bending,V2(0-1 Y 4-5)35X50-INV,22,-0.004067,-230.007,0.004067,230.007
negative_bending,V2(0-1 Y 4-5)35X50-INV,23,-0.0044729999999999995,-249.805,0.0044729999999999995,249.805
negative_bending,V2(0-1 Y 4-5)35X50-INV,24,-0.004921,-271.596,0.004921,271.596
negative_bending,V2(0-1 Y 4-5)35X50-INV,25,-0.005413,-295.571,0.005413,295.571
negative_bending,V2(0-1 Y 4-5)35X50-INV,26,-0.005954,-321.928,0.005954,321.928
negative_bending,V2(0-1 Y 4-5)35X50-INV,27,-0.006549,-350.881,0.006549,350.881
negative_bending,V2(0-1 Y 4-5)35X50-INV,28,-0.0072039999999999995,-382.643,0.0072039999999999995,382.643
